Name	Price	Location	Platform	Condition	Link
Original Leitz Leica Camera Double Stroke M3 Body S#: 775xxx in Excellent Cond.	$1,195.95	San Leandro, California	Ebay	Cosmetic wear, frame a little dim, Original "L" seal	https://ebay.us/m/HAx1Zk
Leica M3 DS Double Stroke Rangefinder Camera Body Chrome #783134	$1,129.00	Arcadia, California	Ebay	Good working condition but lots of wear.	https://ebay.us/m/8ER74R
Leica M3 Double Stroke Rangefinder 35mm Film Camera. 1955. Case. CLA'D. AS-IS!	$1,195.00	Solon, Ohio	Ebay	CLA'ed in 2025, minimal cosmetic	https://ebay.us/m/H0rQ2a
Leica M3 DS Double Stroke Rangefinder 35mm Film Camera	$1,375.00	Lansdale, Pennsylvania	Ebay	Good cosmetic with some wear. Need CLA, not accurate shutter	https://ebay.us/m/CXIu0e
Leica Leitz M3 35mm Rangefinder Film Camera Body, Single Stroke SS, M3	$1,395.29	Gilford, New Hampshire	Ebay	Cosmetic wear, Shutter gets stuck	https://ebay.us/m/V5NNf7
Mint LEICA M3 Single Stroke SS 35mm Film Camera Body #11228813	$1,500.00	Playa del Rey, California	Ebay	Some minor marks on top plate	https://ebay.us/m/PGRz7u
Leica M3 Single Stroke 35mm Rangefinder Camera Body *USED*	$1,549.00	Nashville, Tennessee	Ebay	Minor cosmetic wear	https://ebay.us/m/WnysZV
Leica M3 DS Double Stroke Rangefinder 35mm Camera. 1955. Case. CLA'D in 2024.	$1,545.00	Solon, Ohio	Ebay	Shutter good, minor marks on top/bottom plate	https://ebay.us/m/QUgymM
Leica M3 Single Stroke 35mm Rangefinder Film Camera	$1,599.00	Battle Creek, Michigan	Ebay	Shutter need CLA	https://ebay.us/m/sHXlxH
Leica M3 35mm Rangefinder Film Camera Body Only	$1,700.00	Woodside, New York	Ebay	Recently CLA, minor scratches on top/bottom plate	https://ebay.us/m/TXjGWe
Leica M3 DS 35mm Rangefinder FILM camera body . 1955. Case & Cap. Cla'd in 2023.	$1,695.00	Solon, Ohio	Ebay	Good working order, good cosmetics	https://ebay.us/m/wKRVFy
